title,url,ingredients,steps,uuid,categoria
Jugo de pitahaya con leche,https://www.recetasgratis.net/receta-de-jugo-de-pitahaya-con-leche-67512.html,"1 pitahaya
½ vaso de leche de almendras
1 cucharada sopera de azúcar moreno (opcional)","1 Corta la pitahaya por la mitad y extrae la pulpa con una cuchara. También puedes cortarla en cuartos si tienes dificultades. Así mismo, puedes escoger la variedad de pitahaya que más te guste. Truco: Opta por una pitahaya madura para que trabajarla mejor y obtener un jugo más suave y dulce. 
2 Coloca la pulpa en el vaso de la licuadora junto con la leche de almendras y el azúcar, y tritura todos los ingredientes. Si lo deseas, puedes agregar alguna otra fruta al jugo de pitahaya con leche. Para ello, recomendamos fijarte en el objetivo del licuado, es decir, si quieres consumirlo por su efecto antioxidante, añade arándanos, mientras que si buscas incrementar el aporte de fibra, agrega kiwi. Truco: Puedes sustituir la leche de almendras por otra vegetal, como la leche de soja o la leche de coco. 
3 ¡Listo! Sirve el jugo de pitahaya con leche y disfruta. Para consumirlo bien frío, agrega cubos de hielo y licua antes de servir, o reserva en el frigorífico una hora. Este licuado de fruta natural es ideal para el desayuno o la merienda, acompañado de otras frutas frescas.",d93fe2ea-68d0-4ab5-989e-81675205685c,bebida
Jugo de zanahoria con naranja para embarazadas,https://www.recetasgratis.net/receta-de-jugo-de-zanahoria-con-naranja-para-embarazadas-66510.html,"2 zanahoria
3 naranja
1 chorro de agua(opcional)","1 Pelamos la zanahoria quitando bien la piel para que no quede ninguna impureza. Truco: Durante el embarazo es muy importante pelar y lavar bien la fruta y la verdura. 
2 Por otra parte, exprimimos las naranjas hasta sacar todo su jugo. Para este zumo para embarazadas puedes utilizar 2 o 3 naranjas. 
3 Colocamos la zanahoria troceada y el zumo de naranja en una batidora o licuadora. Si te gusta el jengibre, puedes poner un trocito en la batidora, como en la receta de jugo de naranja, zanahoria y jengibre. Como sabes, el jengibre ayuda a eliminar las náuseas propias del embarazo. 
4 Batimos el jugo de zanahoria con naranja hasta que no queden grumos. La zanahoria es bastante dura y puede dejar algún grumo o trocito, de modo que puedes colar este zumo antes de servirlo. Truco: Si queda demasiado espeso puedes poner un chorrito de agua o un poco más de zumo de naranja. 
5 Te recomendamos que tomes el jugo de zanahoria con naranja para embarazadas por las mañanas, antes de tu desayuno habitual. También puedes probar otros batidos nutritivos para embarazadas como este jugo de avena y zanahoria.",dd352e06-456e-4bca-a70f-7cf4f15431ec,bebida
"Jugo detox con naranja, jengibre y caqui",https://www.recetasgratis.net/receta-de-jugo-detox-con-naranja-jengibre-y-caqui-66279.html,"1 caqui maduro mediano
½ naranja
1 cucharadita de jengibre en polvo
1 cucharada postre de semillas de lino tostadas","1 Pela los caquis, córtalos en trozos e introdúcelos en el vaso de la licuadora. También puedes utilizar un batidor eléctrico de mano para hacer este jugo detox naranja. 
2 Exprime el jugo de naranja y agrégalo a la licuadora. Añade también el jengibre y la linaza. 
3 Bate todos los ingredientes hasta obtener una mezcla suave y homogénea. Truco: Si el jugo es demasiado espeso, añade un poco de agua. 
4 Toma el jugo detox de naranja y jengibre por la mañana, en ayunas, durante el desayuno, o media hora antes de las comidas principales. Estamos seguros que rápidamente empezarás a notar los resultados y sentirás tu cuerpo depurado. Y si buscas otras recetas de jugos detox con frutas, no te pierdas la receta de jugo desintoxicante de mango y kiwi.",a32966b2-39fe-408e-b5bd-d03e07d0ade7,bebida
"Jugo de espinacas, apio y manzana -¡Multivitamínico!",https://www.recetasgratis.net/receta-de-jugo-de-espinacas-apio-y-manzana-multivitaminico-65069.html,"4 naranjas
1 rama de apio plátano
1 manojo de espinacas
2 manzanas
1 trozo de jengibre
½ cucharadita de cúrcuma en polvo","1 Exprime el zumo de las naranjas y resérvalo. 
2 Pela los plátanos, las manzanas y el jengibre y córtalos en trozos junto con el apio. 
3 Exprime el zumo de manzana, de apio y de jengibre en la licuadora. Mezcla el zumo resultante con el zumo de naranja en la batidora y bátelo con el plátano y la cúrcuma. 
4 Sirve el batido de espinacas para adelgazar y disfrútalo.",1207bb0a-f600-4432-9014-15688e713322,bebida
"Jugo de papaya, manzana y naranja",https://www.recetasgratis.net/receta-de-jugo-de-papaya-manzana-y-naranja-65009.html,"1 papaya
4 naranjas
2 plátanos
1 manzana
4 cucharadas soperas de granola o cereales
1 cucharadita de canela
2 cucharadas soperas de azúcar moreno (opcional) agua","1 Corta la papaya por la mitad y elimina las semillas. Con una cuchara saca la pulpa y pónla en la batidora. Deja un poco de pulpa en dentro de la cáscara de la papaya. 
2 Exprime las naranjas y vierte el zumo en la batidora. Pela y corta los plátanos y pónlos en la batidora también. Añade un poco de agua y azúcar según tus preferencias. Bate la fruta hasta que quede un batido de papaya, plátano y naranja homogéneo. 
3 Pela la manzana y córtala por la mitad. Corta una de las mitades en láminas y la otra en trozos pequeños. Pon los trozos de manzana dentro de la cáscara de la papaya y vierte el batido de frutas encima. 
4 Encima pon varias cucharadas de granola o cereales, espolvorea un poco de canela, decora con las láminas de manzana y sirve este desayuno saludable con papaya lo antes posible para que no desaparezca ninguna vitamina.Cómo veis, utilizar la propia fruta como recipiente para servir este rico y saludable jugo de papaya, manzana y naranja es una forma muy práctica y original de reaprovechar las sobras. Truco: Si prefieres que elaborar este batido de papaya y naranja para adelgazar, te recomiendo que evites agregarle los cereales y el azúcar, y en su lugar utilices avena o cereales integrales y algún edulcorante natural como la estevia.",048ad5bd-ce71-482c-9785-4547b4c7bd26,bebida
Jugo de nopal para bajar el colesterol,https://www.recetasgratis.net/receta-de-jugo-de-nopal-para-bajar-el-colesterol-61553.html,"1½ tazas de Nopal picado
2 piezas de Limón
1 litro de Agua natural
1 cucharadita de Chía
2 cucharadas soperas de Miel","1 Para hacer este estupendo jugo de nopal para reducir el colesterol, lo primero que debemos hacer es reunir todos los ingredientes, medidos y pesados. 
2 Para empezar, lavamos y desinfectamos el nopal. Una vez listo, lo troceamos y colocamos en la licuadora junto con el agua y el jugo de limón, y procedemos a triturar hasta obtener una mezcla homogénea. 
3 Para hacer que nuestro jugo nos ayude a bajar el colesterol, una vez lista el agua de nopal añadimos las semillas de chía. Mezclamos y dejamos reposar en el refrigerador por aproximadamente 10 minutos. 
4 Una vez pasado el tiempo anterior, retiramos el jugo de nopal y chía de la nevera, añadimos la miel y mezclamos nuevamente para integrar muy bien. 
5 Después de endulzar ya podrás disfrutar de tu jugo de nopal para bajar el colesterol. Al probarlo verás que sabe delicioso, ¡así que no te lo pierdas! En general, los jugos de verduras acostumbran a ser altamente beneficiosos para el organismo, puesto que se trata de bebidas naturales que, bien combinadas, nos ayudan a mejorar la digestión, mantener el peso ideal y fortalecer el sistema inmune. Por ello, te aconsejamos, también, consultar la receta de jugo de espinacas, muy fácil de hacer.",7503d48e-fbcd-485f-bf66-88756a37bac8,bebida
Jugo de guayaba y naranja,https://www.recetasgratis.net/receta-de-jugo-de-guayaba-y-naranja-60464.html,"3 piezas de Guayaba
4 piezas de Naranja
4 litros de Agua natural","1 En la siguiente imagen podrás observar los ingredientes que necesitaremos para la preparación de este delicioso jugo de guayaba y naranja. 
2 Vamos a comenzar la receta del jugo antioxidante lavando las piezas de naranja. Luego, las pelamos y las separamos en gajos, procurando quitarle las semillas a cada gajo. Una vez listas las naranjas, las reservamos un momento. 
3 Enseguida, tomamos las guayabas y, de igual forma, las lavamos y les retiramos la parte del tallo y de la colita. Una vez listas las reservamos un momento. 
4 Ahora colocamos los gajos de naranja y las guayabas en la licuadora junto con un litro de agua, y procedemos a licuar hasta obtener una mezcla homogénea. 
5 En una jarra colocamos lo que resta del agua y en esta vamos a vaciar el jugo de guayaba y naranja, pero nos ayudamos de un colador. 
6 Una vez vaciada toda la mezcla, mezclamos perfectamente y ya tendremos listo el delicioso jugo de guayaba y naranja.",a53ec9c6-4c6a-4295-a1b4-dbee1529042a,bebida
Jugo de zanahoria y naranja con calabaza,https://www.recetasgratis.net/receta-de-jugo-de-zanahoria-y-naranja-con-calabaza-58903.html,"2 Naranjas
2 Zanahorias
1 rodaja de Piña
1 trozo de Calabaza","1 Para empezar a preparar este jugo de frutas con verdura, lo primero que debes hacer es alistar todo los ingredientes. Lava y pela las zanahorias, la piña y la calabaza. 
2 Este batido naranja, de piña y zanahoria, lleva calabaza cocida, no cruda. Así que deberás cocinar la calabaza de forma tradicional con agua hirviendo durante 15 minutos. Luego escurre y deja que enfríe a temperatura ambiente.Mientras, ve exprimiendo las naranjas. Pasa el jugo de naranja por un colador para desechar el las semillas que se nos hayan podido pasar. 
3 A continuación, lleva todos los ingredientes a una licuadora y bate a máxima potencia hasta conseguir una bebida ligeramente espesa. Si consideras que está muy espesa puedes añadir un poco de agua o un poco más de zumo de naranja natural. Truco: Puedes añadir miel o edulcorante si crees que es necesario. 
4 Refrigera y sirve el jugo de zanahoria y naranja con calabaza bien frío. Este jugo de frutas es ideal para beber a la hora del desayuno, sobre todo en días previos a una salida de playa para ayudarnos con a obtener un buen bronceado de forma natural.Y si lo que quieres es un desayuno natural para empezar el día con energía puedes probar combinar este jugo para adelgazar con unas ricas crepes de avenas fitness.",51e4a280-12bc-4299-9769-d48d9d0c6519,bebida
Jugo tres en uno,https://www.recetasgratis.net/receta-de-jugo-tres-en-uno-58565.html,"1 unidad de Remolacha
5 unidades de Naranjas
1 unidad de Zanahoria","1 Antes de realizar este jugo para combatir la anemia, el primer paso es alistar todos los ingredientes. Como siempre, intenta utilizar fruta natural para aprovechar bien los beneficios de éstas. 
2 En una licuadora agregar el zumo de las naranjas sin las semillas. 
3 Después, añadir la remolacha y la zanahoria, peladas y cortadas en cubos, licuar durante unos minutos hasta obtener una mezcla homogénea.Al terminar puedes pasar el resultado por un colador en caso de que prefieras una bebida de textura más fina y menos grumosa. 
4 Servir el jugo tres en uno y disfrutar, es importante consumir esta bebida de inmediato así no se pierden sus nutrientes. Aprende a realizar mas jugos sanos como el zumo detox de espinaca o el jugo de naranja, zanahoria y jengibre.Si te ha gusto este zumo de verduras, tienes algún comentario o inquietud, danos tu opinión.",5037a849-fee2-4b7d-8376-1912247f3d06,bebida
Jugo de avena y zanahoria,https://www.recetasgratis.net/receta-de-jugo-de-avena-y-zanahoria-58121.html,"2 unidades de Zanahoria
4 cucharaditas de Avena en hojuelas
3 unidades de Naranja
1 taza de Agua (240 mililitros)
1 taza de Piña","1 El primer paso para realizar la receta de jugo de avena y zanahoria es alistar los ingredientes. 
2 Lleva a un procesador o licuadora la piña, la zanahoria previamente pelada y cortada en trozos medianos y el agua. Procesa bien los ingredientes. Truco: Si tienes extractor de jugos puedes facilitar este proceso con este utensilio de cocina. 
3 Una vez procesados los ingredientes del paso anterior, lleva esta mezcla a cada uno de los vasos y resérvala un momento. Luego, añade en la licuadora la avena con el zumo de la naranja y procesa nuevamente hasta que se integren estos ingredientes. 
4 Mezcla todos los ingredientes del jugo para adelgazar de tal manera que queden bien integrados. Truco: Si deseas puedes añadir miel o stevia al jugo para dar un toque dulce, o puedes consumirlo así con la fructosa de la naranja y la piña que es el azúcar natural de las frutas. 
5 Sirve el jugo de avena y zanahoria añadiendo semillas de chía o amaranto como ingrediente adicional, pues esto ayuda a adelgazar. ¡Disfruta!",7f115765-e600-42e9-b97b-5d20d1bac296,bebida
Jugo de tamarindo para embarazadas,https://www.recetasgratis.net/receta-de-jugo-de-tamarindo-para-embarazadas-58122.html,"1 unidad de Pulpa de tamarindo
2 cucharaditas de Azúcar
1 litro de Agua
1 taza de Piña
2 cucharaditas de Hielo","1 El primer paso para realizar la receta de jugo de tamarindo es alistar los ingredientes. Ten presente que en muchos países el tamarindo es conocido como dátil seco. 
2 En un tazón o bol adiciona la pulpa de tamarindo con 500 mililitros del agua. Reserva durante 15 minutos y con las manos retira las pepas que contiene la pulpa de tamarindo. Si lo prefieres, puedes pasarla por un colador para acabar de eliminar cualquier residuo o trozo. 
3 Al tratarse de un producto tan concentrado, es necesario poner la pulpa de tamarindo en remojo durante algunos minutos para ablandarla y poder pasar a procesarla. De esta forma, una vez retiradas las pepas e impurezas del tamarindo, añade el resto del agua y vuelve a dejarla. Truco: Trabaja siempre con la pulpa de tamarindo natural y nunca azucarada. 
4 En la licuadora añade la piña, el azúcar y la pulpa de tamarindo disuelta en el agua. Licua durante algunos minutos hasta que se integren los ingredientes. Truco: Si deseas puedes reemplazar el azúcar por stevia, pues la pulpa de tamarindo no contiene azúcar y puede ser un poco ácida. 
5 Por último, adiciona hielo y sigue procesando. Lo ideal es obtener un frappé de tamarindo para refrescar a las mujeres embarazadas y el resto de personas que la consuman. 
6 Sirve inmediatamente el jugo de tamarindo para embarazadas para que puedas consumirlo frío. Este zumo es realmente refrescante y puedes aprovechar todos los beneficios que contienen estas dos frutas, las cuales combinan muy bien y aportan un excelente sabor. ¡Disfruta!",b7350ace-82c3-45bc-b816-184b9bfd032a,bebida
Jugo antioxidante de zanahoria,https://www.recetasgratis.net/receta-de-jugo-antioxidante-de-zanahoria-57845.html,"1 unidad de Manzana
2 ramas de Apio
1 unidad de Zanahoria
2 vasos de Agua
1 cucharada postre de Limón","1 Reunimos todos los ingredientes para elaborar el zumo antioxidante de zanahoria, manzana y apio. 
2 En primer lugar, pelamos la zanahoria y la manzana. Lavamos el apio y reservamos. 
3 En el vaso de la batidora ponemos la zanahoria troceada, la manzana también en trozos y el apio. Agregamos un poco de agua fría y batimos hasta que no queden grumos. 
4 Por último, agregamos un poco de zumo de limón y batimos un poco más para que se integren bien los sabores. 
5 El jugo antioxidante de zanahoria, manzana y apio es una bebida 100% natural llena de vitamina C, betacarotenos y minerales. Si queréis probar otros zumos detox os proponemos:Zumo detox de espinacaJugo de arándanos para adelgazarZumo depurativo de granada y pomelo",0295ba23-b298-40e6-b013-5ab6db7a08bf,bebida
Jugo energético natural,https://www.recetasgratis.net/receta-de-jugo-energetico-natural-57259.html,"1 unidad de Mango maduro
50 gramos de Pepino
1 unidad de Banano
5 unidades de Arándanos","1 Antes de realizar este deliciosos jugo energético de frutas, el primer paso es alistar todos los ingredientes. 
2 Para preparar la fruta, pela el pepino y elimina las semillas. Haz lo mismo con el mango y el banano, Corta todo en trozos para que se procese más fácilmente. 
3 En una licuadora, con medio vaso de agua, procesar muy bien hasta obtener una consistencia homogénea. 
4 Para obtener un jugo mas refrescante, añadir medio vaso de hielo y volver a licuar. Truco: No hace falta añadir azúcar o edulcorante, la fructosa natural de los ingredientes es más que suficiente 5 Finalmente servir el jugo energético natural y agregar unos arándanos para decorar. Disfrutar recién hecho en las horas de la mañana y combina con un salteado de cerdo con verduras en el almuerzo si eres deportista y cuidas tu dieta. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",708e180b-7494-4540-b146-c8af59be6c4d,bebida
"Jugo de naranja, zanahoria y jengibre",https://www.recetasgratis.net/receta-de-jugo-de-naranja-zanahoria-y-jengibre-57181.html,"4 unidades de Naranja
4 unidades de Zanahoria
1 pizca de Jengibre fresco
1 pizca de Agua","1 Reunimos todos los ingredientes para preparar el jugo de naranja, zanahoria y jengibre. 
2 Pelamos las zanahorias y las cortamos en trocitos. 
3 Exprimimos las naranjas para elaborar nuestro jugo de naranja, zanahoria y jengibre. 
4 Pelamos un trozo de jengibre y lo añadimos a la batidora junto a las zanahorias. 
5 Agregamos el jugo de las naranjas y batimos hasta que quede un líquido homogéneo. Truco: Si queda muy espeso se puede añadir agua. 
6 Espero que disfrutéis de este jugo de naranja, zanahoria y jengibre. Si queréis probar otros zumos naturales podéis preparar el jugo de zanahoria mixto o el jugo de piña, pepino y apio.",719912aa-aa48-4635-8154-fe85afe77d0f,bebida
Jugo de arándanos para adelgazar,https://www.recetasgratis.net/receta-de-jugo-de-arandanos-para-adelgazar-56673.html,"1 unidad de Naranja
1 rodaja de Piña
1 vaso pequeño de Frutos rojos o arándanos
1 cucharada postre de Miel (opcional)","1 El primer paso para preparar esta bebida para perder peso es alistar los ingredientes. Como en toda receta con fruta, siempre es mejor utilizar fruta natural pero si no, puedes utilizar piña de lata.Las pencas de piña las utilizaremos para la decoración. 
2 Exprime todo el zumo de la naranja. Contamos una naranja por cada dos vasos de jugo de arándanos para adelgazar. 
3 A continuación, corta la piña en trozos pequeños y lleva todo los ingredientes a la licuadora. Si utilizas piña natural recuerda desechar el corazón de la fruta. También puedes añadir hielo y hacer una batido frozen o tipo sorbete. 
4 Tritura a máxima potencia hasta que se hayan integrado todos los ingredientes. Algunos frutos rojos, como las moras, tiene pequeñas semillas así que es mejor comprobar que todo esta bien triturado antes de servir. Si crees que le hace falta algo de dulce puedes añadir una cucharada de miel a la preparación. 
5 Sirve el jugo de arándanos para adelgazar bien frío a la hora del desayuno junto con sándwich vegetal con huevo o si prefieres dulce, unas crepes de avena.",b30040f0-703a-46d6-9b87-1924797de46e,bebida
Jugo de melón y naranja,https://www.recetasgratis.net/receta-de-jugo-de-melon-y-naranja-55375.html,"1 unidad de Melón
100 mililitros de Naranja
1 unidad de Manzana verde","1 Antes de realizar este zumo de melón, naranja y manzana, el primer paso es alistar todos los ingredientes. 
2 Agregar a la licuadora el melón y la manzana, pelados y cortados en cubos medianos, junto con el zumo de naranja, procesar. 
3 Durante el licuado, ayudar con una espátula a bajar las frutas, para que se pueda obtener una mezcla completamente homogénea. 
4 Servir y disfrutar inmediatamente del jugo de melon y naranja, si se desea se puede colar, pero eso es mucho más beneficioso para el organismo consumirlo de está manera. Te recomiendo tomar el jugo 1 hora antes de cualquier comida del día ya que se digieren mejor los alimentos y se facilita la absorción de esta bebida. Si te ha gustado este jugo, tienes algún comentario o inquietud, danos tu opinión.",51399694-c70f-4a2d-9331-d8ee2185e99a,bebida
Jugo verde con piña,https://www.recetasgratis.net/receta-de-jugo-verde-con-pina-53268.html,"1 rodaja de Piña
3 ramas de Apio
½ unidad de Pepino
½ vaso de Agua","1 Lo primero que debes hacer para este zumo detox es alistar todos los ingredientes. 
2 Lava muy bien y corta el apio en trozos 3 Lava, pela y corta el pepino en rodajas. 
4 Corta la rodaja de piña en trozos, recuerda retirar el corazón. 
5 Coloca todos los ingredientes del zumo detox en la licuadora y licua durante 2 minutos con el medio vaso de agua, si tienes extractor de jugos lo puedes hacer en éste. 
6 Sirve y toma este zumo detox de piña, pepino y apio antes del desayuno 3 veces por semana, recuerda que este zumo es un súper desintoxivante. Si te gustó esta receta o tienes alguna duda déjanos tus comentarios.",5d993392-4763-4749-b95b-0b7e72c3f8cc,bebida
Jugo antioxidante de naranja,https://www.recetasgratis.net/receta-de-jugo-antioxidante-de-naranja-53028.html,"1 taza de Arándanos
1 unidad de Piña pequeña o mediana
2 unidades de Naranjas","1 Gracias a los compuestos anticancerosos y los aminoácidos que forman la naranja, este cítrico tiene la capacidad de proteger a nuestras células y prevenir la aparición de patologías como el cáncer. Para potenciar sus efectos, podemos combinar la naranja con dos de las frutas más antioxidantes de todas, los arándanos y la piña. 
2 Para preparar este jugo antioxidante lo primero que debes hacer es exprimir las dos naranjas. Vierte el zumo de naranja en el recipiente de la licuadora. 
3 Ahora, pela la piña, córtala en trozos pequeños e incorpóralos también a la licuadora. Para pelar la piña deberás cortar los dos extremos, colocar la piña de pie y retirar la cáscara haciendo cortes de arriba a abajo. 
4 Lava bien los arándanos, añádelos al recipiente donde tienes el resto de frutas y procésalo todo hasta que el jugo antioxidante esté bien triturado. Si deseas que quede más líquido, puedes añadir el zumo de otra naranja. 
5 Lo más recomendable es que tomes este jugo antioxidante de naranja por la mañana, antes de desayunar, puesto que es el momento del día en el que nuestro organismo mejor absorbe la energía de sus ingredientes y todas sus propiedades. No es aconsejable tomar más de uno al día. Y si no quieres tomar siempre el mismo zumo, puedes combinarlo con otros depurativos, como el zumo detox de espinaca o el de piña y pepino.",e85ad405-35b7-4d62-8767-bfceb394c76c,bebida
Jugo diurético de piña,https://www.recetasgratis.net/receta-de-jugo-diuretico-de-pina-55058.html,"2 unidades de Zanahoria
1 unidad de Pepino
5 ramas de Perejil
1 unidad de Manzana
2 rodajas de Piña
1 litro de Agua","1 Este jugo diurético para bajar de peso es muy fácil de hacer. Si tienes un extractor de zumo lava todos los ingredientes y llévalos a la máquina hasta obtener el zumo y mezcla todo muy bien. Si no tienes, no te preocupes, hacerlo con la licuadora también es muy sencillo. 
2 Lava y corta en trozos todos los ingredientes. Si los vegetales no son orgánicos pélalos para eliminar la piel. Utiliza preferiblemente una manzana verde. Las propiedades de estos alimentos ayudarán a tu cuerpo a deshacerse del exceso de líquidos y además te aportarán energía. 
3 Añade todos los ingredientes en la licuadora y tritura por unos minutos, ve agregando agua para que puedan molerse correctamente, añade la que creas necesaria. Puedes agregar unas gotas de zumo de limón para realzar los sabores de los ingredientes. 
4 Pasa la mezcla por un colador fino hasta obtener un zumo lo más líquido posible. Puedes utilizar una tela para hacer queso o un colador de café, esto te ayudará a sacar el máximo de líquido del preparado obtenido en la licuadora. 
5 Disfruta de este zumo de piña diurético una vez al día, puedes servirlo en la mañana o beberlo al mediodía, lo ideal es prepararlo y beberlo al momento. Puedes ingerir este jugo diurético para adelgazar hasta sentir mejoría pero evita tomarlo más de 15 días seguidos.",8496cc72-b992-491d-b430-1be65576539f,bebida
